appid,game_name,concurrent_players,collected_at
578080,PUBG: Battlegrounds,136176,2025-12-30 22:24:51.319312
1172470,Apex Legends,49885,2025-12-30 22:24:51.319312
570,Dota 2,590867,2025-12-30 22:24:51.319312
1778820,TEKKEN 8,5705,2025-12-30 22:24:51.319312
271590,Grand Theft Auto V,91770,2025-12-30 22:34:53.905595
1811260,EA SPORTS FC™ 26,799,2025-12-30 22:34:53.905595
730,Counter-Strike 2,1085856,2025-12-30 22:34:53.905595
578080,PUBG: Battlegrounds,126899,2025-12-30 22:34:53.905595
1172470,Apex Legends,48446,2025-12-30 22:34:53.905595
570,Dota 2,571983,2025-12-30 22:34:53.905595
1778820,TEKKEN 8,5705,2025-12-30 22:34:53.905595
271590,Grand Theft Auto V,91770,2025-12-30 22:44:57.062506
1811260,EA SPORTS FC™ 26,776,2025-12-30 22:44:57.062506
730,Counter-Strike 2,1085856,2025-12-30 22:44:57.062506
578080,PUBG: Battlegrounds,126899,2025-12-30 22:44:57.062506
1172470,Apex Legends,48446,2025-12-30 22:44:57.062506
570,Dota 2,571983,2025-12-30 22:44:57.062506
1778820,TEKKEN 8,5653,2025-12-30 22:44:57.062506
271590,Grand Theft Auto V,88528,2025-12-30 22:54:59.666996
1811260,EA SPORTS FC™ 26,776,2025-12-30 22:54:59.666996
730,Counter-Strike 2,1040061,2025-12-30 22:54:59.666996
578080,PUBG: Battlegrounds,117303,2025-12-30 22:54:59.666996
1172470,Apex Legends,47075,2025-12-30 22:54:59.666996
570,Dota 2,552669,2025-12-30 22:54:59.666996
1778820,TEKKEN 8,5653,2025-12-30 22:54:59.666996
271590,Grand Theft Auto V,88528,2025-12-30 23:05:02.788950
1811260,EA SPORTS FC™ 26,780,2025-12-30 23:05:02.788950
730,Counter-Strike 2,1040061,2025-12-30 23:05:02.788950
578080,PUBG: Battlegrounds,117303,2025-12-30 23:05:02.788950
1172470,Apex Legends,47075,2025-12-30 23:05:02.788950
570,Dota 2,552669,2025-12-30 23:05:02.788950
1778820,TEKKEN 8,5643,2025-12-30 23:05:02.788950
271590,Grand Theft Auto V,84854,2025-12-30 23:15:05.441653
1811260,EA SPORTS FC™ 26,780,2025-12-30 23:15:05.441653
730,Counter-Strike 2,992371,2025-12-30 23:15:05.441653
578080,PUBG: Battlegrounds,107157,2025-12-30 23:15:05.441653
1172470,Apex Legends,45505,2025-12-30 23:15:05.441653
570,Dota 2,528136,2025-12-30 23:15:05.441653
1778820,TEKKEN 8,5643,2025-12-30 23:15:05.441653
271590,Grand Theft Auto V,84854,2025-12-30 23:25:08.603511
1811260,EA SPORTS FC™ 26,735,2025-12-30 23:25:08.603511
730,Counter-Strike 2,992371,2025-12-30 23:25:08.603511
578080,PUBG: Battlegrounds,107157,2025-12-30 23:25:08.603511
1172470,Apex Legends,45505,2025-12-30 23:25:08.603511
570,Dota 2,528136,2025-12-30 23:25:08.603511
1778820,TEKKEN 8,5620,2025-12-30 23:25:08.603511
271590,Grand Theft Auto V,81171,2025-12-30 23:35:11.293923
1811260,EA SPORTS FC™ 26,735,2025-12-30 23:35:11.293923
730,Counter-Strike 2,947909,2025-12-30 23:35:11.293923
578080,PUBG: Battlegrounds,99518,2025-12-30 23:35:11.293923
1172470,Apex Legends,44209,2025-12-30 23:35:11.293923
570,Dota 2,511052,2025-12-30 23:35:11.293923
1778820,TEKKEN 8,5620,2025-12-30 23:35:11.293923
271590,Grand Theft Auto V,81171,2025-12-30 23:45:14.480915
1811260,EA SPORTS FC™ 26,712,2025-12-30 23:45:14.480915
730,Counter-Strike 2,947909,2025-12-30 23:45:14.480915
578080,PUBG: Battlegrounds,99518,2025-12-30 23:45:14.480915
1172470,Apex Legends,44209,2025-12-30 23:45:14.480915
570,Dota 2,511052,2025-12-30 23:45:14.480915
1778820,TEKKEN 8,5517,2025-12-30 23:45:14.480915
271590,Grand Theft Auto V,77306,2025-12-30 23:55:17.085727
1811260,EA SPORTS FC™ 26,712,2025-12-30 23:55:17.085727
730,Counter-Strike 2,902440,2025-12-30 23:55:17.085727
578080,PUBG: Battlegrounds,92951,2025-12-30 23:55:17.085727
1172470,Apex Legends,43636,2025-12-30 23:55:17.085727
570,Dota 2,492868,2025-12-30 23:55:17.085727
1778820,TEKKEN 8,5517,2025-12-30 23:55:17.085727
271590,Grand Theft Auto V,77306,2025-12-31 00:05:20.225643
1811260,EA SPORTS FC™ 26,706,2025-12-31 00:05:20.225643
730,Counter-Strike 2,902440,2025-12-31 00:05:20.225643
578080,PUBG: Battlegrounds,92951,2025-12-31 00:05:20.225643
1172470,Apex Legends,43636,2025-12-31 00:05:20.225643
570,Dota 2,492868,2025-12-31 00:05:20.225643
1778820,TEKKEN 8,5380,2025-12-31 00:05:20.225643
271590,Grand Theft Auto V,72537,2025-12-31 00:15:22.821510
1811260,EA SPORTS FC™ 26,706,2025-12-31 00:15:22.821510
730,Counter-Strike 2,861062,2025-12-31 00:15:22.821510
578080,PUBG: Battlegrounds,87795,2025-12-31 00:15:22.821510
1172470,Apex Legends,42808,2025-12-31 00:15:22.821510
570,Dota 2,477155,2025-12-31 00:15:22.821510
1778820,TEKKEN 8,5380,2025-12-31 00:15:22.821510
271590,Grand Theft Auto V,72537,2025-12-31 00:25:25.966064
1811260,EA SPORTS FC™ 26,685,2025-12-31 00:25:25.966064
730,Counter-Strike 2,861062,2025-12-31 00:25:25.966064
578080,PUBG: Battlegrounds,87795,2025-12-31 00:25:25.966064
1172470,Apex Legends,42808,2025-12-31 00:25:25.966064
570,Dota 2,477155,2025-12-31 00:25:25.966064
1778820,TEKKEN 8,5276,2025-12-31 00:25:25.966064
271590,Grand Theft Auto V,69576,2025-12-31 00:35:28.622305
1811260,EA SPORTS FC™ 26,685,2025-12-31 00:35:28.622305
730,Counter-Strike 2,825770,2025-12-31 00:35:28.622305
